;Nom de l'etablissement;Note;liens
0;Hotel Ibis - Plateau;3.8;https://www.ahstatic.com/photos/0667_ho_00_p_1024x768.jpg
1;Hotel Fanon;3.5;https://res.cloudinary.com/yafohi-travel/image/upload/f_auto/v1686927652/images/hotels/38442298_127386261523562_4576234602451959808_n-8bxmhoxrz7j.jpg
2;Hotel Ivoire;4.5;https://cf.bstatic.com/xdata/images/hotel/max1024x768/330281518.jpg?k=1d96ad16414d5a80d363cf9a89afabe605c761fd67d4a4cdb4c4868ad08b97a8&o=&hp=1
3;Hotel Palm Club;3.9;https://baab.ci/wp-content/uploads/2021/02/Palm-Club-2.jpg
4;Hotel Concorde;3.3;https://concorde.lhotel.ci/appli/img/galerie/959659.jpg
5;Hotel KONA;3.0;https://cf.bstatic.com/xdata/images/hotel/max300/218988391.jpg?k=340bbb5b90a4757ca6a98c23023f727384cd20088c44d79de956920a4d93a4d8
6;Hotel Residence Harmonie;3.0;https://www.hotelcontact.net/image/ivory-coast/yamoussoukro/yamoussoukro-centre/hotel-residence-harmonie-yamoussoukro-1609002178.jpg
7;Hotel des Arts;3.0;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlJv2ZkPMweLOd9SxX4kpNIsgv6Wc0pUQJI2Dg5IXOq2iRUTo_dMl1_U6ejn-vuql50-8&usqp=CAU
8;Hotel VTR;3.0;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCoM313YcKBYNHheYOXdQuR9BT7t67HuwzyXlz8W0o1lP5LU9j3zL-4JVu4eBBo6HCbLY&usqp=CAU
9;Hotel La Source;3.0;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRc8GSbauOY9LfZdHSs7rPjlLzOEKi8UIkjTQ&usqp=CAU
10;Hotel Soleil;3.0;https://baab.ci/wp-content/uploads/2023/01/La-maison-du-soleil-2-BAAB.jpeg
11;Hotel Belview;4.0;https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/08/30/2b/nos-chambres-standards.jpg?w=700&h=-1&s=1
12;Hotel Hudson;4.0;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQV-I8wL7tkVNVl833s-78A2qsH4Gn-OtqF0w&usqp=CAU
13;Hotel Kimi;4.0;https://www.hotelkimi.com/wp-content/uploads/2023/11/hotel-kimi-1536x1475.jpg
14;Hotel Abidjan;4.0;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfjfIOq8Y949sGPszB-7ruAjLH6OcgToYQig&usqp=CAU
15;Complex Hotelier Mandoux;4.0;https://sncdn.com/imagecache/db/id/3924550/6528745a.jpg
16;Hotel Djetran;3.0;https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/d6/df/fa/hotel-nouvelle-pergola.jpg?w=700&h=-1&s=1
17;Hotel Beau-Sejour;3.0;https://hotelbeausejour-ci.com/files/JARDINHBS2.jpeg
18;Hotel Etranou;3.0;https://images.trvl-media.com/lodging/31000000/30380000/30373500/30373432/053a0f07.jpg?impolicy=fcrop&w=1200&h=800&p=1&q=medium
19;Hotel Ayomibile;4.0;https://imgcy.trivago.com/c_limit,d_dummy.jpeg,f_auto,h_600,q_auto,w_600//partner-images/a3/61/7b3b41453e66f790d35124c99a406ee54e01470eb662f905049109bc11f5.jpeg
20;Espace Kignon Restaurant et Hotel;4.0;https://baab.ci/wp-content/uploads/2021/08/Espace-kignon_2_BAAB.jpg
21;Hotel Assanvon;4.0;https://www.yelloci.com/img/ci/e/1689249126-24-assonvon-hotel.jpg
22;Zoo d'Abidjan;4.0;https://images.trvl-media.com/lodging/77000000/76970000/76970000/76969950/01cb3432.jpg?impolicy=resizecrop&rw=455&ra=fit
23;Detente Hotel 2;4.0;https://cf.bstatic.com/xdata/images/hotel/max1024x768/298966436.jpg?k=1df5088a458767db1e2c510e3937f1cc824bdd5e4585623405643c7dd83fa165&o=&hp=1
24;Hotel la Residence;3.0;https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/cc/25/3c/hotel-restaurant-la-residence.jpg?w=700&h=-1&s=1
25;Fondation Donwahi pour l'Art Contemporain;4.0;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9Fu5IQjDhOYieDtoHH3Fv4-Ipw7AhBQkoUA&usqp=CAU
26;Hotel Tiama;4.0;https://cf.bstatic.com/xdata/images/hotel/max1024x768/112568568.jpg?k=89c425de2333a6011a97cffddf08c40f305ed4e9a87e3d4b0de71032f4cf7abe&o=&hp=1
27;Sofitel Abidjan Hotel Ivoire;4.0;https://cf.bstatic.com/xdata/images/hotel/max1024x768/252162986.jpg?k=e80367b93094376b680b7d8e8ec06dbff75e374d9ec4abc527ec3d292149a458&o=&hp=1
28;Hotel du LAC;3.0;http://admin.hoteldulac.ci/img/12.png
29;Hotel Hiram;3.0;https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/ec/d9/fc/espace-evenementiel.jpg?w=700&h=-1&s=1
30;Hotel President;3.0;https://voogo.fr/wp-content/uploads/2021/10/420265_177843532331513_838429784_n-960x640.jpg
31;Hotel Nazie;3.0;http://www.freewheelingtwo.com/DynamicData/0145%2019.11.22%20motel%20nazie%20bouafle_full.jpg
32;Hotel Pullman Abidjan;4.0;https://ak-d.tripcdn.com/images/0223h120009ftqxuv5FA2_R_960_660_R5_D.jpg
33;Complexe hotelier le nouveau montreuil;3.0;https://scontent.fabj4-2.fna.fbcdn.net/v/t39.30808-6/305261512_447421437406208_8348369438551169641_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=783fdb&_nc_eui2=AeFJzOzmnuSb8Qp0pnnQ8vZKu_528GWDYBW7_nbwZYNgFWbyxLtFLVq4ge-LoQP3XIdM-1z2C44WyxAF-GqhCjdE&_nc_ohc=5HqtXFPiq5YAX-Tzvhv&_nc_ht=scontent.fabj4-2.fna&oh=00_AfC3Dj-Yvja8LpdCxkzxYIJWGzws4Zz9FytYZmqf3kAK9g&oe=6599118C
34;Complexe hotelier le NOUVEAU MONTREUIL;3.0;https://scontent.fabj4-2.fna.fbcdn.net/v/t39.30808-6/305261512_447421437406208_8348369438551169641_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=783fdb&_nc_eui2=AeFJzOzmnuSb8Qp0pnnQ8vZKu_528GWDYBW7_nbwZYNgFWbyxLtFLVq4ge-LoQP3XIdM-1z2C44WyxAF-GqhCjdE&_nc_ohc=5HqtXFPiq5YAX-Tzvhv&_nc_ht=scontent.fabj4-2.fna&oh=00_AfC3Dj-Yvja8LpdCxkzxYIJWGzws4Zz9FytYZmqf3kAK9g&oe=6599118C
35;Hotel Du Centre 47 58 57 76;3.0;https://scontent.fabj4-2.fna.fbcdn.net/v/t39.30808-6/301002934_374710248190560_8025970040128086705_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=efb6e6&_nc_eui2=AeHY7omUkiu4qz4oFojT6dBdaYO-hK7InMJpg76ErsicwtBFHqnGL5iacfRwOnxmibDxvj2LZEeP5bACzzKrnPea&_nc_ohc=BLw3GyS_7I8AX_lcJ8l&_nc_ht=scontent.fabj4-2.fna&oh=00_AfCfIGjEev5HEk56ZiKaKz67DCA7AUfG_gXZmiG5Lu4JXQ&oe=6597A57D
36;Mövenpick Hotel Abidjan;4.0;https://pbs.twimg.com/media/FCEA-A6WEAMpGiz.jpg:large
37;Seen Hotel Abidjan Plateau;4.0;https://cf.bstatic.com/xdata/images/hotel/max1024x768/96362868.jpg?k=e330bbc57a71a841136c5ddf8e96790b3c988b9614a63110d042a5efb71ae625&o=&hp=1
38;Akwaba Yopougon;3.0;https://cdn-img.readytotrip.com/t/1024x768/content/80/dc/80dc0ca123f099818d7ca73e392de7cef25f6bee.jpeg
39;Timotel;3.4;https://lh5.googleusercontent.com/p/AF1QipNWu0YvVqqisBUJy70cfR38aHsnbu5Uo5N7YQbh=w408-h244-k-no
40;Palauh;4.0;https://lh5.googleusercontent.com/p/AF1QipPZjOYir1W3UnyLGo8994QgwMy_0QtSaLF1hrPG=w408-h306-k-no
41;Complexe Hotelier;3.7;https://voogo.fr/wp-content/uploads/2021/10/14372020_1145786982172830_6902457923963317331_o-1056x792.jpg
42;Hotel Novotel Abidjan;4.2;https://images.trvl-media.com/lodging/1000000/10000/4000/3928/w3000h2247x0y3-9fc84d86.jpg?impolicy=resizecrop&rw=1200&ra=fit
43;Hotel Nadie;4.0;https://aw-d.tripcdn.com/images/0220z120009zurlz4B3FE.jpg
44;Asthoria Palace;3.6;https://images.trvl-media.com/lodging/49000000/48990000/48990000/48989983/28fefd78.jpg?impolicy=resizecrop&rw=500&ra=fit
45;Residence Hotel La Grace;4.0;https://media-cdn.tripadvisor.com/media/photo-s/13/21/4d/b8/vue-du-batiment.jpg
46;Hotel Venusia;4.0;https://hotel-venusia-venosa.hotelmix.it/data/Photos/OriginalPhoto/10152/1015226/1015226866/Hotel-Venusia-Venosa-Exterior.JPEG
47;Hotel du nord;4.0;https://www.yelloci.com/img/ci/z/1689665086-26-hotel-du-nord.jpg
48;Eden City;4.0;https://baab.ci/wp-content/uploads/2020/09/L-EDEN-SKY-BAR_4_BAAB.jpg
49;Treichotel;4.0;https://scontent.fabj4-2.fna.fbcdn.net/v/t39.30808-6/302084131_596540768833449_1181182878336744169_n.jpg?stp=dst-jpg_p720x720&_nc_cat=106&ccb=1-7&_nc_sid=dd5e9f&_nc_eui2=AeE_zX7RTcXTrbfWkXmduwuYe0QIMG4Qjv97RAgwbhCO_1VV8sOC3gIiA_G0WjvgFCJ3xPYCy3i2Gns9mWLrv5lO&_nc_ohc=v0TcyoHWyTkAX8SOAO8&_nc_ht=scontent.fabj4-2.fna&oh=00_AfA65fa2Ox8vOrocs20tSrTC4UrU-whQuANVOFAlfw2xVg&oe=6597F912
